"adjective","prop_item_correct","gbooks_freq"
"extraverted",0.842105263157895,NA
"extreme",0.722222222222222,1.146
"extroverted",0.920454545454545,-0.256
"facetious",0.35632183908046,-0.239
"factious",0.26865671641791,-0.244
"faint-hearted",0.641975308641975,NA
"fair",0.8375,2.38
"fair-minded",0.851851851851852,NA
"fair-natured",0.759493670886076,NA
"faithful",0.848837209302326,0.673
"faithless",0.620689655172414,-0.217
"fake",0.933333333333333,-0.105
"false",0.829268292682927,-0.081
"false-hearted",0.6625,NA
"faltering",0.810810810810811,-0.216
"familiar",0.988095238095238,1.615
"famous",0.915492957746479,-0.204
"fanatical",0.670103092783505,-0.199
"fanciful",0.657894736842105,-0.168
"fancy",0.891566265060241,0.649
"fancy-free",0.735632183908046,NA
"fantastical",0.784810126582278,-0.241
"farseeing",0.882978723404255,NA
"fascinating",0.8625,0.041
"fashionable",0.875,0.004
"fastidious",0.544117647058823,-0.21
"fat",0.951219512195122,-0.142
"fatalistic",0.421052631578947,-0.247
"fatherly",0.852941176470588,-0.225
"fatigueless",0.84,NA
"fatuous",0.3125,-0.247
"faultfinding",0.717647058823529,NA
"fawning",0.577464788732394,-0.245
"fearful",0.678571428571429,0.18
"fearless",0.897435897435897,-0.153
"feckless",0.494623655913978,NA
"feeble-minded",0.830769230769231,NA
"feelingful",0.539325842696629,NA
"feelingless",0.811764705882353,NA
"felicitous",0.421052631578947,-0.239
"felonious",0.613333333333333,NA
"feminine",0.958333333333333,0.142
"ferocious",0.961038961038961,-0.156
"fervent",0.616438356164384,-0.145
"festive",0.938271604938272,-0.188
"fickle",0.80952380952381,-0.213
"fidgety",0.911111111111111,-0.249
"fiendish",0.354838709677419,-0.237
"fierce",0.831325301204819,0.29
"fiery",0.941860465116279,-0.005
"filthy",0.951807228915663,-0.122
"fine",0.560975609756098,3.38
"finicky",0.813953488372093,NA
"firm",0.75,2.138
"fishy",0.571428571428571,-0.245
"flaky",0.623376623376623,NA
"flamboyant",0.902439024390244,-0.231
"flammable",0.948717948717949,-0.242
"flashy",0.906666666666667,-0.238
"flatterable",0.898305084745763,NA
"flattering",0.567307692307692,-0.139
"flaunty",0.835051546391753,NA
"flawless",0.955555555555556,-0.226
"flexible",0.911111111111111,0.243
"flighty",0.473684210526316,-0.249
"flinching",0.963414634146341,-0.245
"flippant",0.569444444444444,-0.239
"flirtatious",0.931034482758621,-0.249
"florid",0.513157894736842,-0.222
"fluid",0.684931506849315,-0.192
"fluttery",0.555555555555556,NA
"folksy",0.647058823529412,NA
"foolhardy",0.626666666666667,-0.241
"foolish",0.896551724137931,0.29
"footloose",0.712871287128713,NA
"foppish",0.430555555555556,NA
"forbearing",0.313253012048193,-0.248
"forceful",0.655172413793103,-0.173
"forceless",0.706666666666667,NA
"forcible",0.844155844155844,-0.177
"foresighted",0.911111111111111,NA
"foresightless",0.805555555555556,NA
"forethoughtful",0.802631578947368,NA
"forgetful",0.656565656565657,-0.212
"forgiving",0.911392405063291,-0.177
"forlorn",0.698795180722892,-0.151
"formal",0.64,1.36
"forthcoming",0.727272727272727,-0.036
"forthright",0.53,-0.237
"fortunate",0.957142857142857,0.189
"forward",0.741573033707865,-0.125
"forward-looking",0.904255319148936,NA
"foul-mouthed",0.951219512195122,NA
"foxy",0.673913043478261,NA
"fractious",0.4,-0.247
"fragile",0.971428571428571,-0.041
"frank",0.896551724137931,-0.042
"fraternal",0.951219512195122,-0.198
"fraudulent",0.857142857142857,-0.148
"free",0.635416666666667,-0.214
"free-living",0.688311688311688,NA
"free-minded",0.698630136986301,NA
"free-thinking",0.882978723404255,NA
"frenetic",0.681818181818182,-0.247
"frenzied",0.8,-0.21
